%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, 68.50748738832772, 70.99078095890582, 122.15635225269943, 113.23295095842332, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899489252E9, 0.0, 2024-02-08 13:14:59.489
2.0, -35.573928378522396, -51.356306191533804, -60.82947277929634, -48.77951512206346, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899489252E9, 0.0, 2024-02-08 13:14:59.489
3.0, 40.491896820254624, 36.389226568862796, 72.75227383803576, 71.94445544760674, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899498604E9, 0.0, 2024-02-08 13:14:59.498
3.0, -101.00721800327301, -145.6242244746536, -117.36180050950497, -160.71846069581807, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899498604E9, 0.0, 2024-02-08 13:14:59.498
4.0, -120.23030377551913, -167.90654841065407, -191.35946103278548, -188.2703036693856, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899501857E9, 0.0, 2024-02-08 13:14:59.501
4.0, 0.9686340885236859, -16.201246608048677, -1.5819776812568307, 2.905902265571058, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899501857E9, 0.0, 2024-02-08 13:14:59.501
5.0, 29.04406305588782, 5.950180829502642, 61.756967968307436, 43.86528658028692, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899512523E9, 0.0, 2024-02-08 13:14:59.512
5.0, -179.70219287090003, 247.8001612140797, 216.80387038132176, 183.4738819762133, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899512523E9, 0.0, 2024-02-08 13:14:59.512
6.0, 7.550858010537922, 480.96422395156696, -8.02208540495485, 1.5408387817442417, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899528041E9, 0.0, 2024-02-08 13:14:59.528
6.0, 87.18080786708742, 561.9031387926079, 124.81916102115065, 115.91445922665298, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899528041E9, 0.0, 2024-02-08 13:14:59.528
7.0, -152.65523639135063, 750.2725498108193, 251.22964947344735, 196.76174651877955, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899531168E9, 0.0, 2024-02-08 13:14:59.531
7.0, 3.182654862292111, 946.7220146832988, 450.125008916948, -27.75005767121911, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899531168E9, 0.0, 2024-02-08 13:14:59.531
8.0, 79.0353057635948, 1045.0552042182535, 590.558252253104, 95.06451697368175, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899542453E9, 0.0, 2024-02-08 13:14:59.542
8.0, -60.79207377973944, 852.1848236033693, 395.2868558666669, -140.3210463374853, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899542453E9, 0.0, 2024-02-08 13:14:59.542
9.0, -81.54851853381842, 835.1047005057335, 322.22791023226455, -168.58347030263394, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899558555E9, 0.0, 2024-02-08 13:14:59.558
9.0, 37.51493645552546, 982.0191904651001, 508.3066325276159, 19.68309346679598, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899558555E9, 0.0, 2024-02-08 13:14:59.558
10.0, 51.42362439073622, 993.7063778266311, 564.3378136637621, 53.379592067562044, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899561785E9, 0.0, 2024-02-08 13:14:59.561
10.0, -147.04164655786008, 1237.9835532824509, 727.6835540784523, 203.72918013622984, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899561785E9, 0.0, 2024-02-08 13:14:59.561
11.0, 40.93320501502603, 1470.220120830927, 495.8153666756116, 9.331050389446318, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899572531E9, 0.0, 2024-02-08 13:14:59.572
11.0, 115.40209293272346, 1548.746800200548, 631.5737350671552, 126.36747960280627, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899572531E9, 0.0, 2024-02-08 13:14:59.572
12.0, -123.22970353998244, 1744.7643066281453, 760.6133731883019, 206.706140500959, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899588435E9, 0.0, 2024-02-08 13:14:59.588
12.0, 40.028149225749075, 1952.22029707022, 970.7770511982962, -16.216206207871437, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899588435E9, 0.0, 2024-02-08 13:14:59.588
13.0, 122.73229684587568, 2047.3147332435474, 1103.9436689205468, 109.74362429976463, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899591268E9, 0.0, 2024-02-08 13:14:59.591
13.0, -21.35482874698937, 1859.126707373187, 919.933111300692, -124.48630992509425, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899591268E9, 0.0, 2024-02-08 13:14:59.591
14.0, -38.457391244359314, 1844.5784965455532, 845.1425919868052, -153.76224677823484, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899603289E9, 0.0, 2024-02-08 13:14:59.603
14.0, 76.88486328907311, 1983.541959199123, 1021.5536728966981, 28.393320463597775, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899603289E9, 0.0, 2024-02-08 13:14:59.603
15.0, 95.07947657350451, 1999.6160492086783, 1077.5437151333317, 59.96181598957628, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899618547E9, 0.0, 2024-02-08 13:14:59.618
15.0, -118.04620220139623, 2230.601620221976, 1229.2845459855162, 194.85813744133338, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899618547E9, 0.0, 2024-02-08 13:14:59.618
16.0, 59.011881400831044, 2446.9548326586373, 993.7288172263652, 1.2640861850231886, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70742689962168E9, 0.0, 2024-02-08 13:14:59.621
16.0, 126.13934570550919, 2520.5972026861273, 1110.163122546859, 111.84918797481805, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70742689962168E9, 0.0, 2024-02-08 13:14:59.621
17.0, -118.42393209692091, 2705.282812247984, 1228.416889195796, 185.23911475529894, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899632784E9, 0.0, 2024-02-08 13:14:59.632
17.0, 41.266056111082435, 2906.5791874630377, 1435.5811674413271, -35.30091568175703, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899632784E9, 0.0, 2024-02-08 13:14:59.632
18.0, 139.67404364515096, 3004.8487986987457, 1577.824522356037, 89.3761291410774, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899648216E9, 0.0, 2024-02-08 13:14:59.648
18.0, -13.927387434989214, 2829.062281081453, 1400.643022055272, -139.63290474563837, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899648216E9, 0.0, 2024-02-08 13:14:59.648
19.0, -53.5067486660555, 2821.9976100651547, 1337.7753038001247, -161.5187992863357, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899651158E9, 0.0, 2024-02-08 13:14:59.651
19.0, 48.3943054266274, 2972.59216158092, 1527.6425447505899, 29.85188144631684, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899651158E9, 0.0, 2024-02-08 13:14:59.651
20.0, 74.28189291991293, 3009.871484339237, 1604.3516327417456, 85.2622391898185, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899662288E9, 0.0, 2024-02-08 13:14:59.662
20.0, -146.41334336530417, 3245.7825035941787, 1758.0297317709774, 224.7548976871185, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899662288E9, 0.0, 2024-02-08 13:14:59.662
21.0, 65.98679481819272, 3486.1009949469008, 1542.8227986707352, 41.76720270514488, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899678005E9, 0.0, 2024-02-08 13:14:59.678
21.0, 134.52794130612165, 3583.3496134947054, 1686.8613055641763, 165.86456303484738, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707426899678005E9, 0.0, 2024-02-08 13:14:59.678
