%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, 53.40203146729618, 83.652212258894, -36.08255477249622, 100.44623300991952, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494783321E9, 0.0, 2024-02-04 21:21:34.783
2.0, 243.33098076703027, 48.121292729862034, 42.507702896371484, 58.361138808541, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494783321E9, 0.0, 2024-02-04 21:21:34.783
3.0, 188.67421286460012, 195.3705037352629, -55.88532503787428, 23.33323582354933, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494792643E9, 0.0, 2024-02-04 21:21:34.792
3.0, 66.03915341757238, 99.35605217283592, 53.338453168049455, 224.24066144321114, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494792643E9, 0.0, 2024-02-04 21:21:34.792
4.0, 16.85572910029441, 2.853543666191399, 89.61548273824155, 129.8381067616865, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494796176E9, 0.0, 2024-02-04 21:21:34.796
4.0, 134.0679336115718, -158.186548425816, -23.198599425144494, 1.1070103868842125, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494796176E9, 0.0, 2024-02-04 21:21:34.796
5.0, 291.02218500198796, 27.740707921329886, 13.074690245091915, 181.22807205282152, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494806357E9, 0.0, 2024-02-04 21:21:34.806
5.0, 349.467471559532, -127.26879549212754, 117.21594441123307, 212.57965338137, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494806357E9, 0.0, 2024-02-04 21:21:34.806
6.0, 460.3368057459593, -26.699145783670247, 10.280984978191555, 17.038984198123217, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7071104948218E9, 0.0, 2024-02-04 21:21:34.821
6.0, 510.608540950343, 65.62215457251295, -14.185440531931818, 120.29014217481017, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7071104948218E9, 0.0, 2024-02-04 21:21:34.821
7.0, 382.16541687212884, 222.13322781817988, 102.06560969073325, 238.93846826907247, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494824794E9, 0.0, 2024-02-04 21:21:34.824
7.0, 220.21839904086664, 39.654159230180085, 66.38696411345154, 69.12831078097224, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494824794E9, 0.0, 2024-02-04 21:21:34.824
8.0, 161.05879159178585, 186.26384734315798, -45.61181985959411, 35.46921117976308, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494836036E9, 0.0, 2024-02-04 21:21:34.836
8.0, 42.862993392162025, 96.05372051196173, 62.26185446232557, 231.9598149517551, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494836036E9, 0.0, 2024-02-04 21:21:34.836
9.0, 6.83279721904546, 5.377976136282086, 98.40798753406852, 134.98420910071582, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494852325E9, 0.0, 2024-02-04 21:21:34.852
9.0, 126.07950730621815, -151.72774120233953, -21.635321243666112, 10.86814927123487, -0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494852325E9, 0.0, 2024-02-04 21:21:34.852
10.0, 292.4994454844855, 35.56831852858886, 16.388241605833173, 181.44124635029584, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494867175E9, 0.0, 2024-02-04 21:21:34.867
10.0, 353.3943665130064, -111.28820298146456, 119.18313178792596, 209.85326631367207, -0.04800000227987766, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494867175E9, 0.0, 2024-02-04 21:21:34.867
11.0, 473.32173839211464, -6.806617919355631, 12.308010754175484, 11.324417065829039, -0.04800000227987766, 0.01600000075995922, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707110494871109E9, 0.0, 2024-02-04 21:21:34.871
